time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2015-07-13T01:46:25.660Z,35.7066,73.7278,53.89,4.2,mb,,163,2.085,0.77,us,us20002x1c,2015-07-13T09:49:09.088Z,"47km NW of Chilas, Pakistan",earthquake
2015-07-13T00:31:51.770Z,-23.9004,-67.0586,224.14,4.2,mb,,54,2.132,1.2,us,us20002x15,2015-07-20T03:10:55.830Z,"83km WNW of San Antonio de los Cobres, Argentina",earthquake
2015-07-12T23:20:25.980Z,36.6051,70.8303,218.63,4.2,mb,,109,0.558,0.72,us,us20002x10,2015-07-20T03:05:45.202Z,"28km S of Jarm, Afghanistan",earthquake
2015-07-12T21:36:52.090Z,36.6555,70.9545,210.74,4.1,mb,,58,0.558,0.82,us,us20002x05,2015-07-13T05:39:24.061Z,"25km SSE of Jarm, Afghanistan",earthquake
2015-07-12T17:52:06.240Z,32.9728,131.8242,55.28,5.4,mb,,67,0.81,0.62,us,us20002wz9,2015-07-17T16:06:57.000Z,"7km WNW of Saiki, Japan",earthquake
2015-07-12T17:38:22.860Z,-7.2611,-106.9635,10,4.6,mb,,299,28.014,0.76,us,us20002wzf,2015-07-13T01:40:54.455Z,"Central East Pacific Rise",earthquake
2015-07-12T17:33:09.000Z,-60.4786,-18.8146,21.53,4.6,mb,,117,11.357,1.09,us,us20002wzp,2015-07-13T01:35:50.882Z,"East of the South Sandwich Islands",earthquake
2015-07-12T16:45:54.790Z,37.2454,71.9121,161.88,4.3,mb,,99,0.347,0.71,us,us20002wyp,2015-07-13T00:48:38.933Z,"7km E of Roshtqal'a, Tajikistan",earthquake
2015-07-12T16:10:10.000Z,37.78,21.78,5,4.5,mb,,,,1.58,us,us20002wyh,2015-07-13T00:12:40.355Z,"8km NE of Lalas, Greece",earthquake
2015-07-12T15:22:19.460Z,-8.6331,116.1044,127.16,4.6,mb,,83,1.937,0.96,us,us20002wy9,2015-07-12T17:30:05.894Z,"3km W of Karangkebon Timur, Indonesia",earthquake
2015-07-12T10:52:02.510Z,28.7248,143.1104,35.22,4.8,mb,,151,1.818,0.49,us,us20002wx6,2015-07-12T18:54:35.347Z,"202km NNE of Chichi-shima, Japan",earthquake
2015-07-12T10:35:57.020Z,-55.4408,-28.6904,37.82,5.1,mb,,69,4.652,0.51,us,us20002wx1,2015-07-12T18:38:36.015Z,"168km NW of Visokoi Island, South Georgia and the South Sandwich Islands",earthquake
2015-07-12T09:47:04.100Z,-2.9819,-75.6151,131.82,4.3,mb,,130,4.273,0.85,us,us20002wwy,2015-07-12T17:49:38.313Z,"237km NNE of Barranca, Peru",earthquake
2015-07-12T07:04:03.160Z,-21.2219,-176.2145,166.92,4.8,mb,,51,6.28,1.37,us,us20002wwm,2015-07-12T07:29:01.881Z,"103km W of Havelu, Tonga",earthquake
2015-07-12T06:54:50.120Z,-32.0898,-71.1587,58.09,4,mb,,143,0.846,0.58,us,us20002wwk,2015-07-12T22:41:25.311Z,"39km SSW of Salamanca, Chile",earthquake
2015-07-12T04:37:30.850Z,3.0122,128.204,109.74,5.2,mb,,70,2.377,0.95,us,us20002wvt,2015-07-17T16:06:56.000Z,"143km N of Tobelo, Indonesia",earthquake
2015-07-12T04:18:34.060Z,-9.6358,158.0794,10,4.8,mb,,115,1.853,0.76,us,us20002wvr,2015-07-12T12:21:10.552Z,"204km SSW of Dadali, Solomon Islands",earthquake
2015-07-12T04:15:49.820Z,-9.8177,158.1194,22.4,4.8,mb,,149,1.841,0.72,us,us20002wvp,2015-07-12T12:18:23.775Z,"205km WSW of Honiara, Solomon Islands",earthquake
2015-07-11T23:16:30.400Z,33.1676,140.9604,45.92,4.9,mb,,114,0.963,0.88,us,us20002wuy,2015-07-12T07:19:05.434Z,"108km E of Hachijo-jima, Japan",earthquake
2015-07-11T22:55:53.350Z,-3.8673,-80.6216,52.66,4.6,mb,,108,4.618,0.68,us,us20002wuw,2015-07-11T23:21:42.301Z,"21km SSE of Zorritos, Peru",earthquake
2015-07-11T22:48:34.530Z,-6.2685,130.7435,102.44,5,mb,,74,1.789,0.77,us,us20002wut,2015-07-12T06:51:04.835Z,"196km NNW of Saumlaki, Indonesia",earthquake
2015-07-11T18:39:44.670Z,25.9548,128.3487,13.21,5,mb,,80,0.88,0.92,us,us20002wtv,2015-07-14T17:11:53.487Z,"63km SE of Haebaru, Japan",earthquake
2015-07-11T18:27:45.730Z,35.6348,44.8137,56.2,4.3,mb,,66,2.668,1.26,us,us20002wtt,2015-07-14T16:12:43.241Z,"11km N of Chamchamal, Iraq",earthquake
2015-07-11T17:22:36.530Z,-2.2831,-78.9518,85.97,4.6,mb,,110,2.553,1.39,us,us20002wti,2015-07-14T14:49:13.029Z,"16km SW of Alausi, Ecuador",earthquake
2015-07-11T13:46:41.790Z,-5.7259,130.9834,92.85,4.7,mb,,79,2.263,0.85,us,us20002wsg,2015-07-11T21:49:20.932Z,"195km W of Tual, Indonesia",earthquake
